f	d	N	Distance	Dual Distance	Optimal	Optimal Dual	Relator	Dual Relator
3.	7.	84.	4.	8.	1.	1.	b^-2*a^-1*b*a^-1*b^-1*a*b*(a*b^-1)^2*b^-1*a^-1*b^3*a^-1*(a^-1*b^-1)^2*a*(a*b)^2*a^-1*b^2*a^-2 	a*(a*b^-1)^2*a^-2*b*(b*a^-1)^2*a^-1*(a^-1*b^-1)^2*a^-2*(b*a)^2*b^-2*a^-2*b^-1*a 
3.	7.	252.	6.	14.	1.	1.	b^-1*a*b^3*a^-1*b^3*a*(b^-1*a*b^-2)^2*a*b*a^-1	b^-1*a*b^3*a^-1*b^3*a*(b^-1*a*b^-2)^2*a*b*a^-1
3.	7.	546.	7.	14.	1.	0.	b^-2*a^-2*b^-1*(b^-1*a)^2*(b^2*a^-1)^2*b*a*(a*b^-2)^2*a 	b^-2*a^-2*b^-1*(b^-1*a)^2*(b^2*a^-1)^2*b*a*(a*b^-2)^2*a 
3.	7.	546.	-	15.	1.	1.	(b^2*a^2)^2*b^3*a*b*(b^4*a^2)^2*(b^2*a^2)^2*b 	-
3.	7.	672.	8.	16.	1.	1.	(a*b^-1)^2*b^-1*a^-1*b*a*(a*b^-2)^2*a*b^3*a^2*b^3*a^-1*b^2*a*b^-2	(a*b^-1)^2*b^-1*a^-1*b*a*(a*b^-2)^2*a*b^3*a^2*b^3*a^-1*b^2*a*b^-2
3.	7.	4914.	10.	24.	1.	1.	a*b^-1*a^3*b^-1*(b^-1*a)^2*b^-2*(a^2*b^2)^2*b*a^-1*b^-3*a*b^3*a*b^-1*a^-1*b*a^-1*b^-2*a*b^-2*(a^-1*b)^2*b^2	a*b^-1*a^3*b^-1*(b^-1*a)^2*b^-2*(a^2*b^2)^2*b*a^-1*b^-3*a*b^3*a*b^-1*a^-1*b*a^-1*b^-2*a*b^-2*(a^-1*b)^2*b^2
3.	7.	5376.	12.	24.	1.	0.	b^-1*a*b*a^-1*b^-3*a*b^-1*a^-2*b^-3*a^-1*b^2*a*b^-2*(a^-1*b)^2*b*(a*b^-1)^3*b^-2*a^-1*b^2*a^-1*b^-1*a^2*b^-1*a^-2*b^-1*a^-1*b*a 	b^-1*a*b*a^-1*b^-3*a*b^-1*a^-2*b^-3*a^-1*b^2*a*b^-2*(a^-1*b)^2*b*(a*b^-1)^3*b^-2*a^-1*b^2*a^-1*b^-1*a^2*b^-1*a^-2*b^-1*a^-1*b*a 
3.	8.	96.	4.	10.	1.	1.	b*a^2*b*a^-1*b^4*a*b^-2*a^-1*b^2 	b*a^2*b*a^-1*b^4*a*b^-2*a^-1*b^2 
3.	8.	216.	5.	12.	1.	1.	b*a^-1*b^-1*a*b^2*(b*a^-1)^2*b^2*a*b^-1*(b^-1*a)^2*b	b*a^-1*b^-1*a*b^2*(b*a^-1)^2*b^2*a*b^-1*(b^-1*a)^2*b
3.	8.	504.	6.	14.	1.	1.	b^-1*a*b^2*a^2*b^-1*a*b^3*a*b^-1*(b^-1*a)^2*b^-2*a^-1*b^2*a	b^-1*a*b^2*a^2*b^-1*a*b^3*a*b^-1*(b^-1*a)^2*b^-2*a^-1*b^2*a
